Time,wsteth,wbtc,sfrxeth,weth
17761835,2125816617344516580783,2.9889134267042246e+22,1977071746073918532358,1.87596384581188e+21
17767238,2104162287035708189023,2.912781511048556e+22,1948053574269396640185,1.850317257780314e+21
17772642,2105937472252826072954,2.9334230338855145e+22,1951732541528479831301,1.8729463507826314e+21
17778045,2105552556292016087853,2.9419869413180545e+22,1939564324955161600875,1.8670008657027027e+21
17783448,2131274009400336352446,2.9480020920663584e+22,1969293600468074549833,1.880265107125292e+21
17788852,2111387492354198451716,2.925774479383729e+22,1958967117060680789177,1.8367499515781217e+21
17794255,2126279464373049444541,2.935394977394177e+22,1970254827671495737715,1.8795359607203294e+21
17799659,2116771047388369866483,2.925122993882488e+22,1949573656079851174260,1.8700108253411072e+21
17805062,2116995204114378156575,2.921587870703613e+22,1957233798027521748876,1.8765438217421002e+21
17810466,2127417132259083117586,2.9599522219102604e+22,1964961935872043905325,1.8808621787871372e+21
17815869,2092588759600662618692,2.9255108913263114e+22,1936817099059842508103,1.840926616799231e+21
17821273,2088986274785934612789,2.8977485682011133e+22,1934500716872734865798,1.8448546329227499e+21
17826676,2096408921415945749612,2.9345018191328552e+22,1942221445285098653079,1.8560698869780358e+21
17832079,2090766875531162031686,2.9177776594778665e+22,1922438637544224391181,1.8410052912576573e+21
17837483,2065572982373568657007,2.910870031292398e+22,1911425294997045115990,1.8177117905766714e+21
17842886,2106332281608480991155,2.933278738124749e+22,1945080891754468897850,1.8571952511240173e+21
17848290,2081885700039899267036,2.913038661151367e+22,1921379560608033376381,1.831705487490585e+21
17853693,2082118927096952321041,2.898564809716453e+22,1930862258604534479775,1.8371560722550148e+21
17859097,2074138617674834425672,2.9135659207450077e+22,1920718292687934430819,1.829083320358688e+21
17864500,2046094800579817065429,2.8706571067328934e+22,1889917388897706429458,1.8080661765317932e+21
17869904,2093849897705793713126,2.9460212211482924e+22,1934439941784973053850,1.8476694858756158e+21
17875307,2101515431607152844751,2.9736971064512333e+22,1934217944274581047684,1.8556692728378824e+21
17880710,2113055219107622562218,2.959845891663376e+22,1948227078738379788006,1.8672354634756103e+21
17886114,2083405493552733751819,2.9200361664654105e+22,1938567256024881639917,1.8426826346915124e+21
17891517,2088378182308024864783,2.9276689607313032e+22,1937062624694103483552,1.8387995594389796e+21
17896921,2094404665145480019387,2.940165852667227e+22,1935970006461557731316,1.8406579638450974e+21
17902324,2097513109688290605270,2.941085297573142e+22,1944064070521508790298,1.8416132492724902e+21
17907728,2101096918184182238138,2.9332879632519924e+22,1947451801864820778345,1.8446697218132182e+21
17913131,2102333531884399813005,2.9434112988946046e+22,1958272963769559656780,1.851405221074996e+21
17918535,2079218481749358674879,2.9290199631101375e+22,1939045057893645957990,1.8383175888564204e+21
17923938,2080266701461534949587,2.9195610168182622e+22,1924585918543975382565,1.8319882699435003e+21
17929341,2084393221908838253902,2.931142470204777e+22,1919866667394151514699,1.8330200761352475e+21
17934745,2019926035268901100742,2.8343815595643007e+22,1884913752115504208656,1.777917990290701e+21
